C:\Documents and Settings\Wintest\Desktop\runs\190813 Anna\15% v20_20%.CSV

"Points","Elapsed Time ","Scan Time ","Disp  ","Load 2 ","E11    ","E12    ","E22    ","Axial cmd","Axial err",
"      ","Sec          ","Sec       ","mm    ","N      ","%      ","%      ","%      ","V        ","%        ",
     114,         3.7742,      3.7742,   0.053,     0.01,     0.00,     0.00,     0.00,      0.090,       0.09,
     115,         3.8076,      3.8076,   0.068,     0.01,     0.00,     0.00,     0.00,      0.114,       0.09,
     116,         3.8410,      3.8410,   0.082,     0.00,     0.00,     0.00,     0.00,      0.137,       0.10,
     117,         3.8744,      3.8744,   0.098,     0.05,     0.00,     0.00,     0.00,      0.160,       0.09,
     118,         3.9078,      3.9078,   0.112,     0.01,     0.00,     0.00,     0.00,      0.181,       0.08,
     119,         3.9412,      3.9412,   0.126,     0.01,     0.00,     0.00,     0.00,      0.199,       0.05,
     120,         3.9746,      3.9746,   0.135,     0.05,     0.00,     0.00,     0.00,      0.213,       0.05,
     121,         4.0080,      4.0080,   0.143,     0.02,     0.00,     0.00,     0.00,      0.223,       0.04,
     122,         4.0414,      4.0414,   0.148,     0.06,     0.00,     0.00,     0.00,      0.229,       0.02,
     123,         4.0748,      4.0748,   0.149,     0.03,     0.00,     0.00,     0.00,      0.229,       0.00,
     124,         4.1082,      4.1082,   0.149,     0.02,     0.00,     0.00,     0.00,      0.225,      -0.04,
     125,         4.1416,      4.1416,   0.145,     0.01,     0.00,     0.00,     0.00,      0.215,      -0.08,
     126,         4.1750,      4.1750,   0.140,     0.02,     0.00,     0.00,     0.00,      0.202,      -0.14,
     127,         4.2084,      4.2084,   0.127,     0.02,     0.00,     0.00,     0.00,      0.184,      -0.12,
     128,         4.2418,      4.2418,   0.114,     0.01,     0.00,     0.00,     0.00,      0.164,      -0.11,
     129,         4.2752,      4.2752,   0.098,     0.01,     0.00,     0.00,     0.00,      0.142,      -0.09,
     130,         4.3086,      4.3086,   0.083,     0.01,     0.00,     0.00,     0.00,      0.118,      -0.10,
     131,         4.3420,      4.3420,   0.067,     0.00,     0.00,     0.00,     0.00,      0.094,      -0.09,
     132,         4.3754,      4.3754,   0.053,    -0.02,     0.00,     0.00,     0.00,      0.072,      -0.10,
     133,         4.4088,      4.4088,   0.040,    -0.02,     0.00,     0.00,     0.00,      0.051,      -0.11,
     134,         4.4422,      4.4422,   0.025,    -0.03,     0.00,     0.00,     0.00,      0.033,      -0.05,
     135,         4.4756,      4.4756,   0.016,    -0.03,     0.00,     0.00,     0.00,      0.018,      -0.06,
     136,         4.5090,      4.5090,   0.008,    -0.02,     0.00,     0.00,     0.00,      0.009,      -0.04,
     137,         4.5424,      4.5424,   0.003,    -0.03,     0.00,     0.00,     0.00,      0.003,      -0.02,
     138,         4.5758,      4.5758,   0.001,    -0.03,     0.00,     0.00,     0.00,      0.003,       0.01,
     139,         4.6092,      4.6092,   0.001,    -0.03,     0.00,     0.00,     0.00,      0.007,       0.06,
     140,         4.6426,      4.6426,   0.005,    -0.02,     0.00,     0.00,     0.00,      0.017,       0.09,
     141,         4.6760,      4.6760,   0.012,    -0.02,     0.00,     0.00,     0.00,      0.031,       0.12,
     142,         4.7094,      4.7094,   0.024,    -0.01,     0.00,     0.00,     0.00,      0.048,       0.12,
     143,         4.7428,      4.7428,   0.038,    -0.02,     0.00,     0.00,     0.00,      0.069,       0.11,
     144,         4.7762,      4.7762,   0.053,     0.02,     0.00,     0.00,     0.00,      0.091,       0.09,
     145,         4.8096,      4.8096,   0.067,     0.01,     0.00,     0.00,     0.00,      0.115,       0.11,
     146,         4.8430,      4.8430,   0.084,     0.01,     0.00,     0.00,     0.00,      0.138,       0.09,
     147,         4.8764,      4.8764,   0.099,     0.01,     0.00,     0.00,     0.00,      0.161,       0.09,
     148,         4.9098,      4.9098,   0.112,     0.03,     0.00,     0.00,     0.00,      0.182,       0.09,
     149,         4.9432,      4.9432,   0.126,     0.01,     0.00,     0.00,     0.00,      0.200,       0.05,
     150,         4.9766,      4.9766,   0.135,     0.02,     0.00,     0.00,     0.00,      0.214,       0.06,
     151,         5.0100,      5.0100,   0.144,     0.05,     0.00,     0.00,     0.00,      0.224,       0.02,
     152,         5.0434,      5.0434,   0.147,     0.03,     0.00,     0.00,     0.00,      0.229,       0.02,
     153,         5.0768,      5.0768,   0.149,     0.05,     0.00,     0.00,     0.00,      0.229,      -0.00,
     154,         5.1102,      5.1102,   0.149,     0.05,     0.00,     0.00,     0.00,      0.224,      -0.05,
     155,         5.1436,      5.1436,   0.145,     0.03,     0.00,     0.00,     0.00,      0.215,      -0.09,
     156,         5.1770,      5.1770,   0.140,     0.01,     0.00,     0.00,     0.00,      0.201,      -0.15,
     157,         5.2104,      5.2104,   0.128,     0.03,     0.00,     0.00,     0.00,      0.183,      -0.13,
     158,         5.2438,      5.2438,   0.111,     0.01,     0.00,     0.00,     0.00,      0.163,      -0.09,
     159,         5.2772,      5.2772,   0.097,    -0.01,     0.00,     0.00,     0.00,      0.140,      -0.09,
     160,         5.3106,      5.3106,   0.084,     0.01,     0.00,     0.00,     0.00,      0.116,      -0.13,
     161,         5.3440,      5.3440,   0.067,    -0.01,     0.00,     0.00,     0.00,      0.093,      -0.10,
     162,         5.3774,      5.3774,   0.052,    -0.01,     0.00,     0.00,     0.00,      0.070,      -0.09,
     163,         5.4108,      5.4108,   0.040,    -0.01,     0.00,     0.00,     0.00,      0.049,      -0.12,
     164,         5.4442,      5.4442,   0.025,    -0.03,     0.00,     0.00,     0.00,      0.032,      -0.07,
     165,         5.4776,      5.4776,   0.015,    -0.02,     0.00,     0.00,     0.00,      0.018,      -0.05,
     166,         5.5110,      5.5110,   0.007,    -0.02,     0.00,     0.00,     0.00,      0.008,      -0.03,
     167,         5.5444,      5.5444,   0.003,    -0.03,     0.00,     0.00,     0.00,      0.003,      -0.02,
     168,         5.5778,      5.5778,   0.001,    -0.03,     0.00,     0.00,     0.00,      0.003,       0.02,
     169,         5.6112,      5.6112,   0.001,    -0.02,     0.00,     0.00,     0.00,      0.008,       0.06,
     170,         5.6446,      5.6446,   0.005,    -0.03,     0.00,     0.00,     0.00,      0.017,       0.09,
     171,         5.6780,      5.6780,   0.013,    -0.03,     0.00,     0.00,     0.00,      0.031,       0.12,
     172,         5.7114,      5.7114,   0.024,    -0.01,     0.00,     0.00,     0.00,      0.049,       0.13,
     173,         5.7448,      5.7448,   0.041,    -0.02,     0.00,     0.00,     0.00,      0.070,       0.07,
     174,         5.7782,      5.7782,   0.053,    -0.01,     0.00,     0.00,     0.00,      0.092,       0.10,
     175,         5.8116,      5.8116,   0.068,     0.02,     0.00,     0.00,     0.00,      0.116,       0.11,
     176,         5.8450,      5.8450,   0.085,     0.03,     0.00,     0.00,     0.00,      0.140,       0.09,
     177,         5.8784,      5.8784,   0.099,     0.01,     0.00,     0.00,     0.00,      0.162,       0.10,
     178,         5.9118,      5.9118,   0.114,     0.02,     0.00,     0.00,     0.00,      0.183,       0.07,
     179,         5.9452,      5.9452,   0.125,     0.02,     0.00,     0.00,     0.00,      0.201,       0.09,
     180,         5.9786,      5.9786,   0.136,     0.05,     0.00,     0.00,     0.00,      0.215,       0.05,
     181,         6.0120,      6.0120,   0.144,     0.03,     0.00,     0.00,     0.00,      0.224,       0.03,
